"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US37183054004","Census Tract 540.04; Wake County; North Carolina","338300","41550",
"1400000US37183054006","Census Tract 540.06; Wake County; North Carolina","443800","33386",
"1400000US37183054007","Census Tract 540.07; Wake County; North Carolina","344000","57677",
"1400000US37183054008","Census Tract 540.08; Wake County; North Carolina","250500","30603",
"1400000US37183054011","Census Tract 540.11; Wake County; North Carolina","483000","26525",
"1400000US37183054012","Census Tract 540.12; Wake County; North Carolina","761700","85543",
"1400000US37183054015","Census Tract 540.15; Wake County; North Carolina","320300","52761",
"1400000US37183054016","Census Tract 540.16; Wake County; North Carolina","430200","15023",
"1400000US37183054017","Census Tract 540.17; Wake County; North Carolina","369600","30144",
"1400000US37183054018","Census Tract 540.18; Wake County; North Carolina","386700","84337",
"1400000US37183054019","Census Tract 540.19; Wake County; North Carolina","553200","35156",
"1400000US37183054020","Census Tract 540.20; Wake County; North Carolina","398500","52693",
"1400000US37183054021","Census Tract 540.21; Wake County; North Carolina","594300","55204",
"1400000US37183054022","Census Tract 540.22; Wake County; North Carolina","328600","26256",
"1400000US37183054023","Census Tract 540.23; Wake County; North Carolina","409200","30023",
"1400000US37183054106","Census Tract 541.06; Wake County; North Carolina","252400","43630",
"1400000US37183054108","Census Tract 541.08; Wake County; North Carolina","332700","43375",
"1400000US37183054109","Census Tract 541.09; Wake County; North Carolina","405100","33636",
"1400000US37183054111","Census Tract 541.11; Wake County; North Carolina","381500","62102",
"1400000US37183054112","Census Tract 541.12; Wake County; North Carolina","360700","40723",
"1400000US37183054113","Census Tract 541.13; Wake County; North Carolina","389200","42248",
"1400000US37183054114","Census Tract 541.14; Wake County; North Carolina","360100","40055",
"1400000US37183054115","Census Tract 541.15; Wake County; North Carolina","316900","31746",
"1400000US37183054116","Census Tract 541.16; Wake County; North Carolina","347600","22531",
"1400000US37183054117","Census Tract 541.17; Wake County; North Carolina","318200","30174",
"1400000US37183054118","Census Tract 541.18; Wake County; North Carolina","360000","22129",
"1400000US37183054119","Census Tract 541.19; Wake County; North Carolina","302200","58465",
"1400000US37183054120","Census Tract 541.20; Wake County; North Carolina","424400","45045",
"1400000US37183054121","Census Tract 541.21; Wake County; North Carolina","360800","21093",
"1400000US37183054203","Census Tract 542.03; Wake County; North Carolina","554100","59081",
"1400000US37183054204","Census Tract 542.04; Wake County; North Carolina","371900","24745",
"1400000US37183054206","Census Tract 542.06; Wake County; North Carolina","407700","22532",
"1400000US37183054212","Census Tract 542.12; Wake County; North Carolina","361900","101023",
"1400000US37183054213","Census Tract 542.13; Wake County; North Carolina","628400","16573",
"1400000US37183054214","Census Tract 542.14; Wake County; North Carolina","428800","133976",
"1400000US37183054215","Census Tract 542.15; Wake County; North Carolina","448600","33445",
"1400000US37183054216","Census Tract 542.16; Wake County; North Carolina","483400","73417",
"1400000US37183054217","Census Tract 542.17; Wake County; North Carolina","526200","49838",
"1400000US37183054218","Census Tract 542.18; Wake County; North Carolina","398300","43714",
"1400000US37183054219","Census Tract 542.19; Wake County; North Carolina","523500","70697",
"1400000US37183054220","Census Tract 542.20; Wake County; North Carolina","420900","51262",
"1400000US37183054221","Census Tract 542.21; Wake County; North Carolina","493100","45267",
"1400000US37183054222","Census Tract 542.22; Wake County; North Carolina","578600","37938",
"1400000US37183054223","Census Tract 542.23; Wake County; North Carolina","472400","93962",
"1400000US37183054224","Census Tract 542.24; Wake County; North Carolina","438300","25051",
"1400000US37183054303","Census Tract 543.03; Wake County; North Carolina","244000","85402",
"1400000US37183054304","Census Tract 543.04; Wake County; North Carolina","366800","17665",
"1400000US37183054305","Census Tract 543.05; Wake County; North Carolina","341900","156462",
"1400000US37183054306","Census Tract 543.06; Wake County; North Carolina","239600","17619",
"1400000US37183054402","Census Tract 544.02; Wake County; North Carolina","354300","25438",
"1400000US37183054403","Census Tract 544.03; Wake County; North Carolina","220500","47246",
"1400000US37183054404","Census Tract 544.04; Wake County; North Carolina","268600","30165",
"1400000US37183054501","Census Tract 545.01; Wake County; North Carolina","399200","36147",
"1400000US37183054502","Census Tract 545.02; Wake County; North Carolina","345100","33534",
"1400000US37183980100","Census Tract 9801; Wake County; North Carolina","-","**",
"1400000US37183980200","Census Tract 9802; Wake County; North Carolina","-","**",
